id_student,courses_count,assignments_count,workload_level,activity_count_in_enrolled_courses,previous_delays_count,non_submission_count,course_engagement,last7d_engagement,last7d_unique_resources,days_to_first_activity,num_of_prev_attempts,procrastination_label
11391,1,6,0.5941666666666666,211.0,1.0,0,4.619477619520078,2.2197334086969094,1.824549292051046,0.0,0,0
28400,1,6,0.5941666666666666,211.0,3.0,0,5.043381545680793,2.2949686218701593,2.0014800002101243,0.0,0,1
31604,1,6,0.5941666666666666,211.0,3.0,0,5.4476199314058125,3.076766529430808,2.580216829592325,0.0,0,0
32885,1,6,0.5941666666666666,211.0,4.0,0,4.724941869715258,1.5993236415320093,1.4816045409242156,0.0,0,1
38053,1,6,0.5941666666666666,211.0,5.0,0,5.407843560688513,3.0336887231168403,2.468099531471619,0.0,0,0
45462,1,6,0.5941666666666666,211.0,5.0,0,5.020286202757097,3.0012274820482987,2.4336133554004498,0.0,0,1
45642,1,6,0.5941666666666666,211.0,3.0,0,5.158962273460989,2.929835990161411,2.3608540011180215,0.0,0,1
52130,1,6,0.5941666666666666,211.0,8.0,0,5.322076538085381,3.324901781360428,2.681021528714291,0.0,0,0
53025,1,6,0.5941666666666666,211.0,8.0,0,5.669926022959397,3.1992546218346956,2.379546134130174,0.0,0,0
57506,1,6,0.5941666666666666,211.0,4.0,0,5.157976463546711,2.861767787299139,2.653241964607215,0.0,0,0
58873,1,6,0.5941666666666666,211.0,2.0,0,5.2860444782089395,3.083231398118437,2.624668592163159,0.0,0,0
59185,1,6,0.5941666666666666,211.0,1.0,0,4.871277062211449,2.345271034693099,2.174751721484161,0.0,0,0
62155,1,6,0.5941666666666666,211.0,0.0,0,5.621862491509961,3.1015349973738697,2.7212954278522306,0.0,0,0
63400,1,6,0.5941666666666666,211.0,4.0,0,5.679952821516663,3.0449032414294246,2.501435951739211,0.0,0,0
70464,1,6,0.5941666666666666,211.0,4.0,0,4.769940914122848,2.0293428830022955,1.5260563034950492,0.0,0,0
71361,1,6,0.5941666666666666,211.0,0.0,0,5.609078675520149,2.9631393060557207,2.580216829592325,0.0,0,0
74372,1,6,0.5941666666666666,211.0,3.0,1,2.9715081772215335,1.886528204273571,2.0794415416798357,0.0,0,1
75091,1,6,0.5941666666666666,211.0,6.0,0,5.4759555757057585,3.2627817691225007,2.8903717578961645,0.0,0,0
77367,1,6,0.5941666666666666,211.0,2.0,0,4.778524928073275,2.9472379297227356,2.2192034840549946,0.0,0,0
91265,1,6,0.5941666666666666,211.0,7.0,0,5.23842062394787,3.0700341611701223,2.379546134130174,0.0,0,1
98094,1,6,0.5941666666666666,211.0,0.0,0,5.500048984709681,2.9691793589245226,2.2192034840549946,0.0,0,0
100893,1,6,0.5941666666666666,211.0,5.0,0,4.52985232115564,2.0593730792534695,1.791759469228055,0.0,0,1
101781,1,6,0.5941666666666666,211.0,0.0,0,5.855908424245085,3.2953237772613813,2.681021528714291,0.0,0,0
102806,1,6,0.5941666666666666,211.0,0.0,0,5.562890870849467,3.0819099697950434,2.302585092994046,0.0,0,0
102952,1,6,0.5941666666666666,211.0,0.0,0,4.80481299016251,2.843759586785413,2.653241964607215,0.0,0,0
